ts_code,entry_date,entry_price,shares,exit_date,exit_price,exit_reason,fill_scenario,gross_pnl,fees,ret_pct
603125.SH,20250701,19.36,17200,20250703,17.982,规则卖出,base,-24171.461000000047,469.86099999999993,-0.0725705712001753
002549.SZ,20250701,11.33,29400,20250704,13.146840000000001,规则卖出,base,52848.67413000004,566.42187,0.15861647562513623
601218.SH,20250701,4.52,73700,20250707,4.5954,规则卖出,base,5050.347775000048,506.632225,0.015156774965550795
600927.SH,20250708,17.18,20000,20250710,17.192790000000002,规则卖出,base,-259.9197499999776,515.7197500000001,-0.0007562712057724149
000514.SZ,20250708,5.67,60700,20250714,6.5734200000000005,规则卖出,base,54252.79350750003,584.8004925,0.1575947679746731
002229.SZ,20250717,20.56,17600,20250721,19.560419999999997,规则卖出,base,-18113.401240000057,520.79324,-0.05004442104454447
603048.SH,20250717,21.45,16900,20250721,19.2807,规则卖出,base,-37159.10103749999,497.9310375,-0.10248083084124072
002730.SZ,20250717,19.81,18300,20250721,18.75123,规则卖出,base,-19895.05613624996,519.56513625,-0.05486571504524161
603176.SH,20250721,6.93,48700,20250723,6.37362,规则卖出,base,-27568.072867500032,472.36686749999996,-0.08166494090763034
002645.SZ,20250721,15.76,21400,20250723,13.94604,规则卖出,base,-39276.11657000002,457.37257,-0.11642600453947433
002940.SZ,20250721,54.56,6100,20250723,52.8471,规则卖出,base,-10934.853137499975,486.16313750000006,-0.032847339393157496
002370.SZ,20250729,6.81,45700,20250731,6.853140000000001,规则卖出,base,1502.2081275000103,469.2898725,0.004825676840701752
688020.SH,20250729,56.57,5500,20250731,57.942,规则卖出,base,7069.864999999993,476.135,0.022717141997866255
603280.SH,20250729,45.34,6800,20250804,58.941,规则卖出,base,91908.72350000001,578.0765,0.29802846487319506
688189.SH,20250731,17.14,18900,20250804,16.89309,规则卖出,base,-5146.684751249967,480.08575125000004,-0.015883506515436383
002298.SZ,20250813,9.42,36400,20250815,9.32067,规则卖出,base,-4125.424485000016,509.8124849999999,-0.012028398155238306
002104.SZ,20250813,24.56,13900,20250818,29.55042,规则卖出,base,68768.05345249998,598.7845475,0.20138865833215958
002173.SZ,20250813,22.65,15100,20250818,26.073900000000002,规则卖出,base,51123.24138749999,577.6486125,0.1494392461487277
001330.SZ,20250826,6.15,62100,20250828,5.43456,规则卖出,base,-44946.160469999995,517.33647,-0.11765687846331098
603929.SH,20250826,42.45,8900,20250828,41.538419999999995,规则卖出,base,-8669.628172500017,556.5661725,-0.022941626784116737
600118.SH,20250826,36.63,10400,20250828,39.060900000000004,规则卖出,base,24678.33030000004,603.0297,0.06476449069550805
000061.SZ,20250828,8.43,44100,20250901,8.3916,规则卖出,base,-2248.967700000029,555.5277,-0.006047954203619991
002053.SZ,20250828,13.63,27300,20250902,14.24574,规则卖出,base,16230.541372499993,579.1606275,0.0436079773160158
603948.SH,20250828,26.52,14000,20250903,27.4725,规则卖出,base,12761.411250000012,573.58875,0.03436280352988679
603257.SH,20250902,66.53,6000,20250904,61.64829,规则卖出,base,-29852.417175000024,562.157175,-0.07476565944189593
603051.SH,20250903,25.61,14800,20250905,23.2767,规则卖出,base,-35058.21594999994,525.3759500000001,-0.09247193765791259
002150.SZ,20250930,20.82,17200,20251010,19.930049999999998,规则卖出,base,-15825.162074999987,518.022075,-0.04418048045625478
603026.SH,20250930,51.8,6900,20251010,52.0479,规则卖出,base,1172.2418625000096,538.2681375,0.0032789124147534813
000981.SZ,20250930,4.24,84800,20251013,4.4855100000000006,规则卖出,base,20253.895939999995,565.35206,0.05631684354854682
001267.SZ,20251021,17.88,20200,20251023,18.07191,规则卖出,base,3329.972272499983,546.6097275,0.009217500574520752
600172.SH,20251021,7.02,51400,20251024,7.52247,规则卖出,base,25253.4323025,573.5256975,0.06996995943321863
601608.SH,20251021,6.9,52300,20251024,7.12287,规则卖出,base,11100.225873749963,555.87512625,0.03075193701574596
300300.SZ,20251028,9.19,40700,20251030,9.14085,规则卖出,base,-2558.953993749966,558.54899375,-0.006839809362131628
000753.SZ,20251028,8.88,42100,20251030,8.24175,规则卖出,base,-27397.509093750094,527.18409375,-0.07326683954011522
603228.SH,20251028,77.19,4800,20251030,80.38953,规则卖出,base,14782.778819999974,574.96518,0.03988827365642064
002374.SZ,20251031,3.34,110600,20251104,3.24675,规则卖出,base,-10854.664187499997,541.2141875,-0.029376918494927157
002679.SZ,20251031,14.0,26400,20251104,12.617370000000001,规则卖出,base,-37010.205209999964,508.77320999999995,-0.10011080890491653
001255.SZ,20251105,39.79,8800,20251107,36.33363,规则卖出,base,-30903.263929999957,487.20793000000003,-0.0882346525080214
002333.SZ,20251105,6.77,52200,20251107,6.21378,规则卖出,base,-29528.48164500003,493.79764500000005,-0.08353594393129937
600815.SH,20251105,3.71,95300,20251107,3.5964,规则卖出,base,-11342.891900000026,516.8119,-0.03207365274584326
002196.SZ,20251107,14.11,23300,20251111,15.2847,规则卖出,base,26843.152362500034,527.3576375,0.08162853864847051
600939.SH,20251107,3.97,83000,20251112,4.13586,规则卖出,base,13254.907025000024,511.47297499999996,0.04021606059442326
002691.SZ,20251112,10.29,35500,20251117,10.339649999999999,规则卖出,base,1212.4292812500312,550.1457187499999,0.0033182119921915426
002083.SZ,20251107,7.17,45900,20251119,11.4885,规则卖出,base,197477.72156250002,741.4284375,0.599898404060073
001216.SZ,20251117,18.74,21900,20251121,18.42156,规则卖出,base,-7580.727704999978,606.8917049999999,-0.01846667201929502
000017.SZ,20251120,8.39,52200,20251125,7.91208,规则卖出,base,-25573.17672000008,625.75272,-0.05837725312414464
603280.SH,20251124,44.17,9500,20251126,45.4545,规则卖出,base,11558.074062499973,644.6759374999999,0.02753758866147165
000530.SZ,20251202,7.45,53900,20251204,7.6923,规则卖出,base,12441.312537500036,618.6574625,0.03097509179752051
603327.SH,20251202,12.09,33200,20251205,13.286700000000002,规则卖出,base,39078.69495000004,651.74505,0.097334568343026
002977.SZ,20251208,44.41,9400,20251210,41.508449999999996,规则卖出,base,-27866.65778749997,592.0877874999999,-0.0667371563436544
301486.SZ,20251208,110.22,3800,20251210,118.89099,规则卖出,base,32280.3207975,669.4412025000001,0.0770522417708039
002295.SZ,20251208,13.63,30700,20251210,12.84714,规则卖出,base,-24631.421247500028,597.6192474999999,-0.05885002887209238
002471.SZ,20251212,5.31,77600,20251217,5.85414,规则卖出,base,41554.39842000006,670.8655800000001,0.10082127773141476
000890.SZ,20251212,5.87,70200,20251218,6.4935,规则卖出,base,43096.87687500002,672.823125,0.10455914556284274
600865.SH,20251212,11.88,34700,20251222,18.35163,规则卖出,base,223666.50004874996,899.06095125,0.5424334541364658
603069.SH,20251222,26.25,19600,20251225,29.25072,规则卖出,base,57968.84435999999,845.2676399999999,0.11264209090584494
002596.SZ,20251222,5.89,87400,20251225,6.20379,规则卖出,base,26618.785442499873,806.4605574999998,0.05169552476057531
000566.SZ,20251222,7.96,64700,20251225,8.541450000000001,规则卖出,base,36800.2722312501,819.54276875,0.07143731498030034
002297.SZ,20251225,12.39,44800,20251229,12.43755,规则卖出,base,1294.969199999974,835.2708000000001,0.0023323920835771218
603601.SH,20251225,12.13,45800,20251230,12.257729999999999,规则卖出,base,5009.390457500006,840.6435425000001,0.009014674402298035
605007.SH,20251225,14.19,39100,20251230,12.75723,规则卖出,base,-56783.52386625003,762.2168662499998,-0.10231860903695857
603458.SH,20251230,10.44,51600,20260105,9.90009,规则卖出,base,-28632.58780499998,773.2318049999999,-0.05313758844771562
002177.SZ,20251230,8.55,63000,20260106,8.34165,规则卖出,base,-13917.617437500065,791.5674375,-0.025831502650653246
001266.SZ,20251230,35.79,15000,20260106,34.74522,规则卖出,base,-16457.385374999933,785.685375,-0.030647801167897337
300753.SZ,20260106,39.96,12900,20260108,37.962,规则卖出,base,-26515.20824999998,741.00825,-0.051424643839040204
301330.SZ,20260106,47.59,10900,20260108,42.12783,规则卖出,base,-60241.327433750055,703.67443375,-0.11610308785484874
301363.SZ,20260106,34.63,14900,20260109,40.06989,规则卖出,base,80179.06254874995,875.2984512500001,0.15535085727557416
603488.SH,20260108,9.57,54800,20260112,9.34065,规则卖出,base,-13339.323525000018,770.9435250000001,-0.025429203044066602
600215.SH,20260109,8.46,61100,20260113,8.31168,规则卖出,base,-9826.383060000033,764.03106,-0.019005248687828106
603171.SH,20260112,78.17,6500,20260114,80.75916000000001,规则卖出,base,16046.345575000038,783.1944250000001,0.0315728736998302
001202.SZ,20260113,19.44,26100,20260115,18.401580000000003,规则卖出,base,-27829.95954749999,727.1975475000002,-0.05483618678663665
002115.SZ,20260112,16.19,31600,20260120,14.79519,规则卖出,base,-44788.30700500005,712.311005,-0.0875229918585827
002524.SZ,20260127,5.56,88200,20260129,4.845149999999999,规则卖出,base,-63706.54578750004,656.7757874999999,-0.12987696196454493
002009.SZ,20260127,28.72,17000,20260129,25.50447,规则卖出,base,-55328.03998749994,664.0299875000001,-0.11329307601720728
002030.SZ,20260127,7.71,63600,20260129,7.182810000000001,规则卖出,base,-34222.9063949999,693.6223950000001,-0.06977451648760942
601069.SH,20260129,48.69,9000,20260203,37.4625,规则卖出,base,-101578.505625,531.005625,-0.2317453215254412
002207.SZ,20260129,11.18,39300,20260204,9.61038,规则卖出,base,-62268.01941750005,581.9534174999999,-0.1416844335427772
600871.SH,20260129,3.23,136000,20260204,2.9470500000000004,规则卖出,base,-39092.01849999994,610.8185000000001,-0.08896887620200199
603138.SH,20260212,22.62,16400,20260224,23.4765,规则卖出,base,13472.589750000012,574.01025,0.03630831350517811
002842.SZ,20260212,38.51,9600,20260224,37.43253,规则卖出,base,-10885.326360000008,541.61436,-0.029436633635670565
