ts_code,entry_date,entry_price,shares,exit_date,exit_price,exit_reason,fill_scenario,gross_pnl,fees,ret_pct
000591.SZ,20210104,8.0,41600,20210106,8.17182,规则卖出,base,6639.5773600000075,508.13464000000005,0.019945666708322943
601375.SH,20210104,7.72,43100,20210106,7.092899999999999,规则卖出,base,-27493.322987500036,465.31298749999996,-0.0826083796408412
605008.SH,20210106,31.8,10200,20210108,30.978990000000003,规则卖出,base,-8850.374122499987,476.0721225000001,-0.02727883241453783
002342.SZ,20210113,6.39,50600,20210115,5.3946000000000005,规则卖出,base,-50789.28194999997,422.04195000000004,-0.15704066941011216
600379.SH,20210113,7.29,44300,20210118,7.54245,规则卖出,base,10685.13508124997,498.39991875,0.03307807307432392
603863.SH,20210119,12.3,25200,20210121,10.74924,规则卖出,base,-39495.243060000015,416.09106,-0.12738860406849511
000020.SZ,20210119,10.85,28500,20210122,13.54644,规则卖出,base,76288.64182500003,559.898175,0.24664750402261193
600844.SH,20210118,4.58,67600,20210126,4.305689999999999,规则卖出,base,-18984.588805000003,441.2328049999999,-0.06130282112877895
600847.SH,20210122,11.0,30200,20210127,9.630360000000001,规则卖出,base,-41809.72408999999,446.59609000000006,-0.1258256299561473
300846.SZ,20210127,27.72,10800,20210129,25.48449,规则卖出,base,-24562.39261499998,418.88461500000005,-0.08202479006871652
603726.SH,20210127,13.7,22000,20210129,12.69729,规则卖出,base,-22484.14547499999,424.52547500000003,-0.07458037771579
603178.SH,20210127,9.67,31200,20210202,7.82217,规则卖出,base,-58032.78663000001,380.49063,-0.1923019981819437
600805.SH,20210204,4.21,65500,20210208,3.5964,规则卖出,base,-40554.19399999999,363.394,-0.14702927593517295
003000.SZ,20210202,15.83,16800,20210209,17.55243,规则卖出,base,28501.73697,435.08703,0.10714516333014032
002366.SZ,20210222,2.77,94900,20210224,2.6773200000000004,规则卖出,base,-9178.647334999952,383.315335,-0.03490793366640271
002998.SZ,20210222,12.53,20900,20210225,12.07791,规则卖出,base,-9829.685648750024,381.00464875,-0.03752612425504966
600328.SH,20210223,8.54,30700,20210225,8.5914,规则卖出,base,1182.7405249999902,395.23947499999997,0.004510084422688201
603332.SH,20210301,20.45,12400,20210303,19.46052,规则卖出,base,-12634.585060000023,365.0330599999999,-0.049812395311930054
600980.SH,20210301,18.28,13900,20210303,16.7832,规则卖出,base,-21160.651100000032,355.13110000000006,-0.08325867110902811
603399.SH,20210225,6.09,42200,20210311,6.553439999999999,规则卖出,base,19147.22453999994,409.94345999999996,0.07448477782032302
603098.SH,20210308,11.57,21000,20210315,14.66532,规则卖出,base,64556.01284999999,445.70714999999996,0.26562899897324715
300812.SZ,20210317,42.67,6400,20210319,41.03892,规则卖出,base,-10835.495360000004,396.58336,-0.03966775238461303
603090.SH,20210317,14.69,18600,20210319,13.25673,规则卖出,base,-27035.34947250002,376.52747249999993,-0.09892104322455814
000993.SZ,20210317,8.82,31000,20210319,7.65234,规则卖出,base,-36562.34317500004,364.883175,-0.13368884819611437
603439.SH,20210319,19.13,13000,20210323,19.02096,规则卖出,base,-1788.7831000000144,371.2631,-0.007191025035168344
002988.SZ,20210319,17.27,14400,20210323,16.7832,规则卖出,base,-7374.1895999999915,364.2696000000001,-0.029644962818357334
000966.SZ,20210319,6.31,39400,20210326,7.65234,规则卖出,base,52449.16475500002,439.03124499999996,0.21091352756105755
002554.SZ,20210323,3.5,72600,20210326,3.8161799999999997,规则卖出,base,22544.824664999986,409.84333499999997,0.0887020459170921
603196.SH,20210326,6.49,41700,20210331,6.6933,规则卖出,base,8061.063487499989,416.54651249999995,0.029778514539315824
003003.SZ,20210329,19.31,14000,20210331,16.903080000000003,规则卖出,base,-34060.268899999974,363.3889,-0.12595899963383042
600956.SH,20210329,15.13,17800,20210401,14.085899999999999,规则卖出,base,-18965.719775,380.73977499999995,-0.07040473027810464
003026.SZ,20210402,80.99,3200,20210408,88.44147,规则卖出,base,23426.146119999976,418.55787999999995,0.09036721758565167
003001.SZ,20210331,38.13,7100,20210412,49.99995,规则卖出,base,83765.21469374996,511.43030624999994,0.30933566274049096
605136.SH,20210412,36.26,8300,20210414,31.49847,规则卖出,base,-39922.735126249994,402.03612625000005,-0.13261902636585748
003033.SZ,20210408,40.84,7400,20210416,42.1578,规则卖出,base,9286.206350000055,465.5136500000001,0.030719370842891808
603269.SH,20210414,12.35,25200,20210416,11.57841,规则卖出,base,-19886.592915000052,442.524915,-0.06388285620902484
000978.SZ,20210419,7.57,36200,20210421,7.4925,规则卖出,base,-3213.0441250000185,407.544125,-0.01172205297420698
002813.SZ,20210419,38.6,7100,20210422,36.963,规则卖出,base,-12019.261625,396.561625,-0.04384535342848225
002383.SZ,20210419,6.78,40500,20210422,7.24275,规则卖出,base,18306.063281249975,435.31171874999995,0.0666502345652524
002728.SZ,20210422,13.75,20000,20210426,13.87611,规则卖出,base,2106.5472500000033,415.65274999999997,0.007658257253868363
002997.SZ,20210423,23.07,11900,20210428,23.48649,规则卖出,base,4538.236211249968,417.99478875,0.01652661769538098
603538.SH,20210423,37.05,7400,20210428,39.08088,规则卖出,base,14598.471360000007,430.04064,0.05323274849303871
002269.SZ,20210428,2.99,94500,20210506,2.80719,规则卖出,base,-17677.78306875007,402.23806874999997,-0.06254840554075553
603088.SH,20210428,8.69,32500,20210506,8.07192,规则卖出,base,-20486.127999999986,398.52799999999996,-0.07251839514229608
601007.SH,20210429,9.63,29300,20210506,8.72127,规则卖出,base,-27015.74526375,389.95626375000006,-0.09572259972390079
603990.SH,20210506,38.39,6800,20210510,37.98198,规则卖出,base,-3162.6458299999877,388.10983,-0.012111975262240657
600751.SH,20210506,2.37,110100,20210510,2.36763,规则卖出,base,-652.0163287499659,391.07932875000006,-0.0024981254686327107
002104.SZ,20210510,6.81,39400,20210512,6.86313,规则卖出,base,1688.2343474999684,405.0876525,0.006290437302568513
603020.SH,20210506,11.99,21700,20210514,19.380599999999998,规则卖出,base,159785.27547499997,590.7445249999998,0.6139730079990426
000948.SZ,20210512,13.31,21700,20210514,13.0869,规则卖出,base,-5268.458912499994,427.18891249999996,-0.018236321836145
002763.SZ,20210514,11.12,28000,20210518,9.99,规则卖出,base,-32067.490000000023,427.49,-0.10296594016963392
600095.SH,20210517,9.47,32900,20210520,10.5894,规则卖出,base,36314.88017500002,513.379825,0.11652796938041103
002922.SZ,20210517,9.94,31300,20210524,11.2887,规则卖出,base,41694.85911249997,519.4508875,0.13398100424592033
600137.SH,20210520,16.34,20500,20210525,15.984,规则卖出,base,-7791.332500000026,493.33250000000004,-0.02325397842705794
