ts_code,name,industry,float_date,ratio,share_wan,amount_yi,src
603231.SH,索宝蛋白,食品,20261215,44.5,8519.3,14.13,推导36mo
301413.SZ,安培龙,电器仪表,20261218,44.41,6101.7,32.99,推导36mo
920284.BJ,灵鸽科技,专用机械,20261219,36.0,3772.5,5.9,推导36mo
688807.SH,优迅股份,半导体,20261219,80.0,6400.0,218.14,推导12mo
603373.SH,安邦护卫,仓储物流,20261220,57.75,8693.5,34.05,推导36mo
920061.BJ,西磁科技,专用机械,20261221,44.39,3142.6,5.27,推导36mo
001358.SZ,兴欣新材,化工原料,20261221,58.62,7222.4,16.47,推导36mo
601096.SH,宏盛华源,钢加工,20261222,38.58,103217.9,42.84,推导36mo
688805.SH,健信超导,医疗保健,20261224,80.0,13414.4,51.18,推导12mo
920121.BJ,江天科技,广告包装,20261225,81.95,5414.3,14.78,已公告
301526.SZ,国际复材,玻璃,20261226,62.76,236648.5,726.27,推导36mo
603004.SH,鼎龙科技,化工原料,20261227,75.0,17664.0,31.27,推导36mo
920363.BJ,莱赛激光,电器仪表,20261228,43.15,5351.0,5.31,推导36mo
301578.SZ,辰奕智能,IT设备,20261228,71.57,7581.0,17.4,推导36mo
301566.SZ,达利凯普,元器件,20261229,46.02,18410.0,47.22,推导36mo
001369.SZ,双欣材料,化纤,20261230,35.35,40552.0,48.78,已公告
688809.SH,强一股份,半导体,20261230,80.0,10364.7,512.86,推导12mo
920045.BJ,蘅东光,通信设备,20261231,70.43,6712.2,391.45,已公告
688717.SH,艾罗能源,电气设备,20270103,38.1,6095.2,25.97,推导36mo
920690.BJ,捷众科技,汽车配件,20270105,34.99,3016.1,4.54,推导36mo
603402.SH,陕西旅游,旅游景点,20270106,34.29,3447.5,21.29,已公告
603325.SH,博隆技术,化工机械,20270110,57.27,4582.1,23.78,推导36mo
603312.SH,西典新能,电气设备,20270111,68.18,10908.0,33.9,推导36mo
001387.SZ,雪祺电气,家用电器,20270111,36.39,6658.4,7.85,推导36mo
603352.SH,至信股份,汽车配件,20270115,17.19,3896.1,9.71,已公告
301567.SZ,贝隆精密,元器件,20270116,70.5,5076.0,17.31,推导36mo
920086.BJ,科马材料,汽车配件,20270118,67.29,5630.8,11.15,已公告
601033.SH,永兴股份,环境保护,20270118,73.33,66000.0,95.77,推导36mo
920403.BJ,康农种业,种植业,20270118,40.53,4429.4,9.43,推导36mo
001379.SZ,腾达科技,机械基件,20270119,66.35,13270.2,20.64,推导36mo
920050.BJ,爱伦医疗,医疗保健,20270121,73.25,4957.7,13.61,已公告
920076.BJ,国亮新材,其他建材,20270122,68.54,8025.6,10.26,已公告
603375.SH,盛景微,半导体,20270124,36.64,3688.6,16.04,推导36mo
301577.SZ,美信科技,元器件,20270124,58.16,2618.8,14.67,推导36mo
920159.BJ,农大科技,农药化肥,20270128,79.84,6068.0,19.07,已公告
688785.SH,恒运昌,半导体,20270128,79.99,5415.7,153.29,推导12mo
603082.SH,北自科技,运输设备,20270130,75.65,12601.6,56.64,推导36mo
920119.BJ,美德乐,专用机械,20270201,72.7,7340.2,37.79,已公告
920656.BJ,海昇药业,化学制药,20270202,18.37,1837.1,2.62,推导36mo
301502.SZ,华阳智能,电气设备,20270202,58.53,3341.3,16.25,推导36mo
001220.SZ,世盟股份,仓储物流,20270203,20.82,1921.8,5.79,已公告
688712.SH,北芯生命,医疗保健,20270205,89.06,37140.0,110.08,推导12mo
688709.SH,成都华微,半导体,20270207,65.18,41510.1,96.93,推导36mo
301589.SZ,诺瓦星云,IT设备,20270208,62.72,5798.3,81.09,推导36mo
688584.SH,上海合晶,半导体,20270208,48.7,32589.5,78.83,推导36mo
688818.SH,电科蓝天,航空,20270210,91.82,159490.3,671.29,推导12mo
688816.SH,易思维,专用机械,20270211,79.46,7946.4,35.93,推导12mo
920166.BJ,海圣医疗,医疗保健,20270212,68.44,5152.9,9.81,已公告
301591.SZ,肯特股份,塑料,20270228,59.13,6466.1,28.09,推导36mo
603341.SH,龙旗科技,通信设备,20270301,48.83,25518.8,89.6,推导36mo
920183.BJ,海菲曼,IT设备,20270304,75.57,3699.3,10.88,已公告
920187.BJ,通领科技,汽车配件,20270305,32.24,2917.0,4.94,已公告
301680.SZ,固德电材,汽车配件,20270308,29.6,2450.7,23.36,已公告
920706.BJ,铁拓机械,工程机械,20270308,49.61,4693.3,6.51,推导36mo
920036.BJ,觅睿科技,IT设备,20270309,76.0,4136.1,12.17,已公告
301588.SZ,美新科技,家居用品,20270313,38.29,4550.9,12.45,推导36mo
688695.SH,中创股份,软件服务,20270313,37.22,3165.6,5.77,推导36mo
920078.BJ,族兴新材,小金属,20270318,67.51,8101.2,14.84,已公告
301538.SZ,骏鼎达,塑料,20270320,60.18,6605.2,25.31,推导36mo
603344.SH,星德胜,电气设备,20270320,72.22,14050.0,33.61,推导36mo
920028.BJ,新恒泰,塑料,20270322,60.48,9940.0,14.85,已公告
301682.SZ,宏明电子,元器件,20270325,31.48,3826.0,41.91,已公告
688781.SH,视涯科技,元器件,20270325,95.92,95916.5,336.19,推导12mo
001359.SZ,平安电工,矿物制品,20270328,75.0,18086.3,148.11,推导36mo
301536.SZ,星宸科技,半导体,20270328,55.61,23452.2,260.08,推导36mo
920069.BJ,普昂医疗,医疗保健,20270329,66.91,3540.7,11.21,已公告
920123.BJ,芭薇股份,日用化工,20270329,41.74,4655.5,4.97,推导36mo
920188.BJ,悦龙科技,橡胶,20270330,76.15,6319.9,13.92,已公告
920055.BJ,隆源股份,汽车配件,20270331,77.5,5270.0,13.38,已公告
001257.SZ,盛龙股份,小金属,20270331,33.05,60680.6,139.57,已公告
688813.SH,泰金新能,专用机械,20270331,81.2,12992.3,164.37,推导12mo
301683.SZ,慧谷新材,染料涂料,20270401,31.85,2010.3,18.26,已公告
001389.SZ,广合科技,元器件,20270402,67.77,32035.2,560.62,推导36mo
301587.SZ,中瑞股份,电气设备,20270408,50.14,7387.5,14.87,推导36mo
920011.BJ,晨光电机,电气设备,20270408,77.5,6406.7,11.31,已公告
920931.BJ,无锡鼎邦,化工机械,20270408,69.36,6515.4,6.62,推导36mo
688811.SH,有研复材,小金属,20270410,81.64,40954.8,80.03,推导12mo
688691.SH,灿芯股份,半导体,20270411,39.2,4703.5,27.71,推导36mo
301696.SZ,三瑞智能,电气设备,20270412,19.05,7619.9,69.43,已公告
920181.BJ,赛英电子,元器件,20270412,76.81,3318.0,22.43,已公告
920012.BJ,创达新材,元器件,20270413,60.87,3002.0,14.46,已公告
301539.SZ,宏鑫科技,汽车配件,20270415,47.32,7002.6,10.98,推导36mo
301666.SZ,大普微,IT设备,20270416,68.05,29686.4,1107.6,已公告
920177.BJ,恒道科技,专用机械,20270416,64.59,3379.1,7.67,已公告
603293.SH,埃泰克,汽车配件,20270416,50.94,9123.3,32.71,已公告
301513.SZ,尚水智能,专用机械,20270419,34.62,3462.0,14.22,已公告
688820.SH,盛合晶微,半导体,20270421,90.72,168987.1,2224.88,推导12mo
688808.SH,联讯仪器,电器仪表,20270424,81.21,8337.1,2050.81,推导12mo
920125.BJ,鸿仕达,专用机械,20270426,59.23,3326.1,46.19,已公告
920156.BJ,海昌智能,专用机械,20270427,61.37,6390.3,21.84,已公告
920186.BJ,中科仪,机械基件,20270429,47.7,10676.3,72.79,已公告
920200.BJ,振宏股份,电气设备,20270507,55.01,5587.1,14.6,已公告
688530.SH,欧莱新材,半导体,20270509,56.4,9026.6,49.29,推导36mo
301531.SZ,春光集团,矿物制品,20270511,18.84,4139.3,18.47,已公告
603407.SH,长裕集团,化工原料,20270511,42.1,17171.4,88.66,已公告
301596.SZ,瑞迪智驱,机械基件,20270513,59.42,6419.0,28.92,推导36mo
920178.BJ,锐翔智能,专用机械,20270517,70.04,4618.3,40.65,已公告
001393.SZ,维通利,电气设备,20270517,15.37,3832.0,15.11,已公告
001365.SZ,天海电子,汽车配件,20270518,44.74,23486.0,76.73,已公告
920096.BJ,嘉晨智能,电器仪表,20270518,76.52,5280.0,15.99,已公告
920220.BJ,朗信电气,汽车配件,20270524,68.68,4547.0,18.23,已公告
001237.SZ,惠康科技,电气设备,20270524,44.55,6608.8,31.96,已公告
688635.SH,长进光子,通信设备,20270527,81.04,7591.3,208.96,推导12mo
920161.BJ,龙辰科技,元器件,20270527,45.8,6228.4,12.88,已公告
920002.BJ,万达轴承,工程机械,20270530,29.99,1910.7,9.34,推导36mo
920218.BJ,新天力,塑料,20270531,77.5,7259.5,10.69,已公告
301392.SZ,汇成真空,专用机械,20270605,59.2,5920.4,94.06,推导36mo
300784.SZ,利安科技,塑料,20270607,69.89,3930.3,15.85,推导36mo
920211.BJ,新睿电子,专用机械,20270607,66.29,2280.3,20.89,已公告
301669.SZ,高特电子,电气设备,20270610,47.02,22567.3,55.52,已公告
920083.BJ,金戈新材,矿物制品,20270611,56.08,5006.5,17.13,已公告
688692.SH,达梦数据,软件服务,20270612,34.51,3907.5,79.49,推导36mo
301565.SZ,中仑新材,塑料,20270620,68.0,27200.0,49.78,推导36mo
688797.SH,臻宝科技,半导体,20270624,81.2,12609.8,305.91,推导12mo
603381.SH,永臻股份,电气设备,20270626,40.09,9511.9,13.56,推导36mo
301580.SZ,爱迪特,医疗保健,20270626,32.42,4836.7,25.38,推导36mo
001399.SZ,惠科股份,元器件,20270628,23.9,177053.3,344.19,已公告
920072.BJ,科莱瑞迪,医疗保健,20270629,73.89,5660.3,12.91,已公告
920222.BJ,益坤电气,电气设备,20270630,74.15,6350.3,16.89,已公告
920193.BJ,吉和昌,化工原料,20270702,77.36,8613.1,24.88,已公告
603350.SH,安乃达,电气设备,20270703,62.12,7236.9,19.47,推导36mo
