date,hot_sectors,VAL_MOM20,VAL_HOT_MOM,VAL_NOT_HOT,CSI300,n_hot,n_not,pool_hot,pool_not,xsec_hot,xsec_not
20240830,专用机械;元器件;化学制药;电气设备;软件服务;通信设备,24.539728452580462,35.663405108569414,25.123558367721007,28.140386904769965,19,20,903,2682,40.00424843857758,31.658121113558447
20240930,互联网;多元金融;电气设备;软件服务;通信设备,14.399849351971167,4.446871190044179,11.970943079230965,-1.8191947966259114,20,20,30,287,6.855003552276063,1.93253330400682
20241031,元器件;半导体;软件服务;通信设备,5.634473270833398,2.802251696827115,5.8687052720536546,-0.47517121131329665,19,20,19,473,2.802251696827115,4.430139416956419
20241129,专用机械;互联网;元器件;半导体;电气设备;软件服务,5.853231942947236,1.3574715903308792,6.10014805495369,1.6455031518288532,20,19,41,261,3.9895343380821062,0.8251527012191244
20241231,专用机械;半导体;电气设备;百货;软件服务;通信设备,-5.467172363429183,0.39627265951812163,-5.4228681533084515,-2.3400656924658647,20,20,97,559,1.0126547171955906,-0.709866037715211
20250127,专用机械;互联网;元器件;半导体;机械基件;汽车配件;电气设备;软件服务;通信设备,2.582319818934129,10.231514764430706,-0.24383995065175226,1.7851498116282727,20,20,194,637,11.268472551544455,4.7774326400765075
20250228,专用机械;元器件;机械基件;汽车配件;电气设备;软件服务;通信设备,3.4730680785380144,7.065677904743795,5.313968119208742,0.6456860038795975,20,20,98,569,3.7918953149220505,4.228738349300684
20250331,专用机械;元器件;机械基件;汽车配件;电气设备;软件服务,-4.15181697236068,-8.168537400097753,-0.2756719431933224,-2.8870614134376305,20,19,105,529,-8.025590585617982,-3.3491782105430152
20250430,化工原料;机械基件;汽车配件;电器仪表;软件服务,2.911067239463508,8.98587018574671,5.277450873444084,2.159943700827238,20,20,131,1015,4.817113935573918,4.202228282505499
20250530,机械基件;汽车配件;环境保护;生物制药,-1.559215443568704,-1.2193511905710241,-1.8228213078263362,2.4958594301704107,20,20,52,772,1.5294326703356533,2.884568662788625
20250630,专用机械;化工原料;生物制药;通信设备,12.150244556984983,9.213233443307946,10.398579325628576,5.074722710730084,20,20,53,451,7.440799188896279,5.801727473678176
20250731,专用机械;元器件;化学制药;医疗保健;生物制药;通信设备,7.716710138798325,6.707517411071777,9.00316170224235,9.524772749533872,20,20,38,293,11.601119028009412,6.396910381800418
20250829,专用机械;元器件;化学制药;医疗保健;机械基件;电气设备;通信设备,5.937451803721591,2.4912021654364898,3.986789661198526,1.185066818455982,20,20,44,238,0.6869588038075011,-1.073194204828412
20250930,专用机械;元器件;半导体;汽车配件;电气设备;软件服务;通信设备,5.248822836189062,2.730315579344288,5.2502013462609,-0.2895364669095457,20,20,73,531,2.7017294530972955,4.277223541225999
20251031,专用机械;元器件;半导体;电气设备;通信设备,-0.6748213185404559,1.0590632574127934,0.002149213780495951,-2.456672397738624,20,20,97,601,-1.3344146733757603,-0.531386935882664
20251128,专用机械;元器件;化工原料;半导体;机械基件;电气设备,2.1658868148519614,9.107555099739873,-0.03131813173175848,2.884651240552194,20,20,172,733,4.854567817539695,0.2513566151967379
20251231,专用机械;元器件;化工原料;半导体;机械基件;汽车配件;电气设备;航空;软件服务;通信设备,4.330228483385064,9.675020691011799,0.8929134558130103,1.6501425126613345,20,20,259,796,8.69758123182174,6.3132645081020025
20260130,专用机械;互联网;元器件;半导体;小金属;机械基件;软件服务;通信设备,10.233231255552914,-0.5651803352750726,8.459378285648965,-1.9311184076985843,20,20,139,572,-2.2374403443605835,-1.0831871820472225
20260227,专用机械;元器件;半导体;小金属;机械基件;电气设备;通信设备,2.367040584863845,-9.976429635274144,0.6331402329524656,-4.417166143359196,20,20,73,550,-11.132997958080539,-6.868790821693132
20260331,专用机械;元器件;化工原料;半导体;小金属;机械基件;环境保护;电气设备;通信设备,8.500848599342437,4.790908801218431,8.090366766478432,8.096483335589122,20,20,439,1371,8.121586721949,2.7204183251184753
20260430,专用机械;元器件;半导体;电气设备;通信设备,-2.2118969725427258,2.4687510544235387,-4.988509894588698,2.231024609641641,20,20,212,1427,-3.675995999195434,-6.448828279576107
20260529,专用机械;元器件;半导体;玻璃;电气设备;通信设备,-7.131867953951878,-9.615368019793486,-9.398247779336424,0.711341724090131,20,20,296,2069,-10.92417184248057,-9.639004620928908
20260630,专用机械;元器件;化工原料;半导体;通信设备,-17.55678137326543,-18.698138278862096,-7.8020721847239045,-8.232048035671847,20,20,357,2646,-7.401015273355862,0.7379079386069167
