start,end,replay_equity
2023-01-03,2023-04-07,1000000.0
2023-04-10,2023-07-12,1024750.0
2023-07-13,2023-10-17,765279.0
2023-10-18,2024-01-15,715100.24
2024-01-16,2024-04-23,679110.3
2024-04-24,2024-07-25,648281.14
2024-07-26,2024-10-31,742486.2
2024-11-01,2025-02-06,757655.88
2025-02-07,2025-05-12,760049.77
2025-05-13,2025-08-08,853268.19
2025-08-11,2025-11-13,960163.01
2025-11-14,2026-02-12,1099888.88
2026-02-13,2026-05-26,1349967.82
2026-05-27,2026-08-17,1556811.32
