ts_code,t0,final_stage,terminate_date,apply_date,list_date,raise_plan_yi,raise_act_yi,price_ratio,purpose,base_date,gap_cal_days,d0,d1,ex1,d5,ex5,d20,ex20,d60,ex60,suspended
920247.BJ,20260327,监管审批,,,,1.0,,80.0,1、用于公司主营业务相关项目建设及补充流动资金。,20260327,0,-0.0056122448979593065,0.0061570035915854415,0.0037044732805733283,-0.018471010774756325,-0.009964528584872734,0.1426372498717292,0.09436855553908896,-0.06026739355479571,-0.08676135041315636,
002972.SZ,20260327,监管审批,,,,3.0,,80.0,1、合理合法使用。,20260327,0,0.0711775043936731,0.037735849056603765,0.035206344599992834,0.03363412633305973,0.04259218094278494,0.10746513535684987,0.060682224937469664,0.4395254499432595,0.39894079330185694,
300824.SZ,20260327,监管审批,,,,3.0,,80.0,1、合理合法使用。,20260327,0,0.001978239366963619,-0.000987166831194597,-0.0034222830662260506,-0.028627838104639647,-0.020209380692155166,-0.007897334649555887,-0.049806961091170776,-0.28336421746408846,-0.3035683876455252,
000837.SZ,20260327,监管审批,,,,3.0,,80.0,1、合理合法使用。,20260327,0,0.0,0.0009460737937558861,-0.0014937547587511313,-0.04351939451277209,-0.03522999570248475,0.030274361400189242,-0.013247760983589707,0.017029328287606393,-0.01164386125858452,
688023.SH,20260326,监管审批,,,,3.0,,80.0,1、合理合法使用。,20260326,0,-0.04439918533604892,0.018968456947996648,0.012553163035396997,0.024722932651321416,0.016826499241715087,0.09036658141517484,0.03937014754898516,-0.240835464620631,-0.283433689363518,
688108.SH,20260326,监管审批,,,,3.0,,80.0,1、公司主营业务相关项目及补充流动资金。,20260326,0,-0.025197628458497934,0.028890015205271125,0.0224122564422069,0.1292448048656869,0.12054293422276663,0.07399898631525614,0.02376806470456705,-0.020273694880892146,-0.07524807709584436,
002153.SZ,20250425,监管审批,,,,2.16,,80.0,1、购买思迅软件13.50%股份。,20250425,0,-0.04809843400447422,-0.099882491186839,-0.09806351413345327,-0.03525264394829597,-0.048992247822933876,-0.0834312573443009,-0.09574533505455962,0.2658538234432397,0.1567887461124362,
300748.SZ,20260326,监管审批,,,,3.0,,80.0,1、合理合法使用。,20260326,0,-0.010703859876743382,0.022295081967213193,0.0158588440527756,0.004262295081967071,-0.0034764702820276883,0.04655737704918028,-0.002390100776664572,0.06796810164498002,0.008042297564349044,
600506.SH,20260326,监管审批,,,,3.0,,80.0,1、合理合法使用。,20260326,0,-0.030612244897959218,0.010526315789473717,0.004164172508195785,0.051196172248803684,0.04309573816061674,-0.015311004784689053,-0.061364899024631825,-0.06812517352159586,-0.12041451455453667,
688031.SH,20260325,监管审批,,,,3.0,,80.0,1、合理合法使用。,20260325,0,-0.009424227832427579,-0.026388888888889017,-0.015685655223568018,0.013333333333333197,0.009043796079073907,-0.03673611111111108,-0.07472131235539037,-0.1588194444444445,-0.19544262150060954,
688721.SH,20260324,监管审批,,,,14.6,,80.0,1、40nm-28nm半导体掩模版生产线建设项目。,20260324,0,0.03298969072164937,0.01571856287425155,0.0026578766281684096,-0.03717564870259471,-0.03979327898410345,0.1369760479041917,0.07468209417152005,0.3021457085828345,0.23080416750017352,
603186.SH,20260324,监管审批,,,,12.0,,80.0,1、年产1200万张高等级覆铜板项目;2、补充流动资金。,20260324,0,0.06545768566493959,0.02074890581941946,0.007623536566331746,-0.02901604798184476,-0.03165586176744006,0.19889771437834325,0.13321112503694343,2.758859421881164,2.5529202384990426,
300620.SZ,20260324,监管审批,,,,3.0,,80.0,1、合理合法使用。,20260324,0,0.07039485438627824,0.026651087742725288,0.01344982488181623,-0.009458632393033906,-0.012151616918654962,0.5274022144327601,0.44371714204056456,1.1410809629641627,1.0237761064693762,
300329.SZ,20260323,监管审批,,,,2.0,,80.0,1、补充流动资金及偿还银行借款。,20260323,0,-0.009677419354838679,0.02540716612377847,0.007442883365829989,-0.022149837133550454,-0.04956751829165318,-0.05928338762214991,-0.12187238503033582,-0.24429967426710097,-0.30779910346981054,
688766.SH,20260321,监管审批,,,,3.0,,80.0,1、合理合法使用。,20260320,1,-0.04433447098976118,-0.024641977072247356,0.012131331271783008,-0.14228063283454173,-0.1327848077362107,-0.03074890182493506,-0.06044628668921004,1.1076799463746472,1.0389289207941506,
688766.SH,20251209,监管审批,,,,0.77,,80.0,募集配套资金1、支付交易现金对价、中介机构费用及相关税费;2、偿还标的公司并购贷款。,20251209,0,0.0958309904409993,-0.04552118457704135,-0.043312556752148956,-0.11618531007183686,-0.0966110985297195,0.38542735669256745,0.3265702423486736,0.7885940477935789,0.7073947001117045,
688233.SH,20260321,监管审批,,,,3.0,,80.0,1、合理合法使用。,20260320,1,-0.009391534391534284,-0.06262518360261726,-0.027283932136986766,-0.053945787154493496,-0.04347200553940822,0.02149819735612235,-0.009800013357453508,0.6642891936250921,0.6100012600509856,
688123.SH,20260321,监管审批,,,,3.0,,80.0,1、合理合法使用。,20260320,1,-0.04138461538461535,-0.10126785427700202,-0.06738352305044482,-0.1389825068207351,-0.1294501681155319,-0.038436848017974756,-0.067898677929214,0.12113476463316841,0.08456414345557439,
603048.SH,20260321,监管审批,,,,3.0,,80.0,1、合理合法使用。,20260320,1,-0.028089887640449396,-0.09874759152215795,-0.06476824041857787,0.0019267822736031004,0.013019130015785363,0.11175337186897871,0.07768978626075773,-0.04617159201396481,-0.07728479845199576,
600641.SH,20260321,董事会预案,,,,35.1,,80.0,1、半导体光学部件研发及产业化项目;2、半导体精密零部件和子系统研发及产业化项目;3、高端量测装备与生命科学仪器研发及产,20260320,1,0.03360433604336044,-0.026219192448872608,0.010494651138621025,-0.018877818563188264,-0.008015798896072956,0.30309386470896715,0.26316769894304715,0.7540639748295754,0.6968476515397111,
688525.SH,20260320,监管审批,,,,3.0,,80.0,1、合理合法使用。,20260320,0,-0.01768237519532856,-0.05810448760884124,-0.022592795193527748,-0.002009377093101117,0.00903939336455628,0.12483255190890818,0.09036822655008359,0.6176813462826523,0.5649137276455474,
000625.SZ,20251230,监管审批,,,,52.67,,80.0,1、新能源车型及数智平台开发项目;2、全球研发中心建设及核心能力提升项目。,20251230,0,0.0,-0.003361344537815225,-0.004296550186607351,-0.003361344537815225,-0.032131203001169006,-0.043697478991596705,-0.08805568388710816,-0.15714285714285725,-0.13867449268173448,
601016.SH,20251107,监管审批,,,,36.0,,80.0,1、中节能察右前旗(兴和县)50万千瓦工业园区绿色供电项目(察右前旗部分);2、中节能察右前旗(兴和县)50万千瓦工业园,20251107,0,-0.00630914826498441,0.009523809523809712,0.004237911440245767,0.006349206349206549,0.008130552628270227,-0.04444444444444451,-0.021246510389654527,-0.01904761904761898,-0.03597235655110376,
