ts_code,t0,plan_amount_yi,exp_date,impl_first,impl_last,total_vol_wan,total_amt_yi,n_progress,stopped,outcome,base_date,gap_cal_days,d0,d1,ex1,d5,ex5,d20,ex20,d60,ex60,suspended
000002.SZ,20220331,25.0,20220630,20220510,20220630,7761.173199999999,13.750527219199999,3,False,完成,20220331,0,0.008956796628029506,0.07885117493472604,0.06882297417666927,0.0830287206266318,0.1121216071660498,0.014621409921671047,0.0756239373550951,0.06527415143603132,0.02268554092119035,
000012.SZ,20250214,4.85,20260304,20250402,20251231,28604.664699999998,13.5955920105,9,False,完成,20250214,0,0.00397614314115291,-0.007920792079207928,-0.010612608737539442,-0.017821782178217727,-0.02723590337172821,-0.015841584158415745,-0.03680437079107057,-0.05148514851485142,-0.06105137422380458,
000026.SZ,20210205,0.01,,,,0.0,0.0,0,False,未实施,20210205,0,0.09973285841495971,0.06072874493927127,0.04988443531416431,0.13036437246963573,0.06925067920436567,0.16842105263157903,0.1830573541303231,0.3182186234817814,0.3438934620551348,
000026.SZ,20210205,0.0,,,,0.0,0.0,0,False,未实施,20210205,0,0.09973285841495971,0.06072874493927127,0.04988443531416431,0.13036437246963573,0.06925067920436567,0.16842105263157903,0.1830573541303231,0.3182186234817814,0.3438934620551348,
000026.SZ,20210413,0.01,,,,0.0,0.0,0,False,未实施,20210413,0,-0.029490616621983823,0.05455801104972369,0.04830755514674556,0.14848066298342544,0.12319161424785818,0.11118784530386727,0.08129209136230808,0.037508069722401505,-0.006756559513642624,
000026.SZ,20210413,0.0,,20210423,20210423,20.1359,0.013735119100000002,2,False,完成,20210413,0,-0.029490616621983823,0.05455801104972369,0.04830755514674556,0.14848066298342544,0.12319161424785818,0.11118784530386727,0.08129209136230808,0.037508069722401505,-0.006756559513642624,
000026.SZ,20210615,0.0,,,,0.0,0.0,0,False,未实施,20210615,0,-0.03983794733288315,-0.016877637130801704,-0.006195131551728239,-0.052742616033755296,-0.05296975040799223,0.00421940928270037,0.0014140042742114556,-0.09423347398030946,-0.12380356007007565,
000026.SZ,20210702,0.0,,20210706,20210706,16.002,0.0109641022,2,False,完成,20210702,0,-0.000731528895391298,0.026354319180087904,0.021834967672434313,0.05417276720351394,0.05257880449658825,-0.10907759882869694,-0.07724113368692564,-0.15446559297218143,-0.1740555688389125,
000026.SZ,20210820,0.0,,20210824,20211103,13.540099999999999,0.0061569220000000004,3,False,完成,20210820,0,-0.008835341365461713,0.028363047001620734,0.013635182183513672,0.034035656401944836,0.006197525394475489,-0.027552674230145846,-0.07777181310998049,-0.03241491085899517,-0.07602271473399946,
000026.SZ,20220310,0.0,,,,0.0,0.0,0,False,未实施,20220310,0,-0.00778967867575453,-0.01177625122669268,-0.015853210100199577,-0.06967615309126585,-0.04622372248039719,-0.06182531894013732,-0.02362256944730201,0.027136269246939904,0.030656569658095822,
000026.SZ,20220310,0.02,,,,0.0,0.0,0,False,未实施,20220310,0,-0.00778967867575453,-0.01177625122669268,-0.015853210100199577,-0.06967615309126585,-0.04622372248039719,-0.06182531894013732,-0.02362256944730201,0.027136269246939904,0.030656569658095822,
000026.SZ,20220423,0.01,,,,0.0,0.0,0,False,未实施,20220422,1,0.027083333333333348,-0.10040567951318458,-0.051745302825436545,-0.0963488843813387,-0.08452873519433768,-0.09026369168356996,-0.09627835505718696,0.01660616791790237,-0.040898517933057876,
000026.SZ,20220423,0.0,,20220711,20220711,43.5838,0.0309763491,4,False,完成,20220422,1,0.027083333333333348,-0.10040567951318458,-0.051745302825436545,-0.0963488843813387,-0.08452873519433768,-0.09026369168356996,-0.09627835505718696,0.01660616791790237,-0.040898517933057876,
