ts_code,t0,plan_amount_yi,exp_date,impl_first,impl_last,total_vol_wan,total_amt_yi,n_progress,stopped,outcome,base_date,gap_cal_days,d0,d1,ex1,d5,ex5,d20,ex20,d60,ex60,suspended
920122.BJ,20210611,0.0,,20210914,20210914,2.5,0.0007225,1,False,完成,20210415,57,0.0,0.0,-0.0339439906007718,0.8724372000000002,0.7747490455132728,0.237749,0.4118745644034083,0.43970299999999995,0.5232627622525263,True
920753.BJ,20210419,0.01,,20210630,20210630,20.0,0.006445,1,False,完成,20210408,11,0.0,-0.0035714285714286698,0.0014439076389680672,0.0714285714285714,0.04888292789413051,0.24999999999999978,0.23763630559154447,-0.12239822138493739,0.0067368696339633605,True
