ts_code,t0,plan_amount_yi,exp_date,impl_first,impl_last,total_vol_wan,total_amt_yi,n_progress,stopped,outcome,base_date,gap_cal_days,d0,d1,ex1,d5,ex5,d20,ex20,d60,ex60
000960.SZ,20250613,2.0,20260630,20250807,20250930,54.0,0.100301,2,True,停止,20250613,0,0.0013812154696133394,-0.004827586206896606,-0.008273319238082943,-0.030344827586206935,-0.025409648579926114,0.09379310344827574,0.05229301106861883,0.4600000000000002,0.2932185355999848
002129.SZ,20231026,10.0,20241025,20240130,20260731,499.9968,0.6255804445,2,True,停止,20231026,0,-0.04100946372239744,0.02412280701754388,0.014116703544369003,-0.03618421052631582,-0.04294397497619662,0.00164473684210531,-0.02241843826974177,-0.11896929824561397,-0.07043654161223778
002346.SZ,20241113,3.3,20251128,20241223,20250409,10861.6418,11.711279502,10,True,停止,20241113,0,0.03264094955489605,-0.02969348659003812,-0.012629373912974473,-0.053639846743294806,-0.033608727349465295,-0.02298850574712641,-0.021056508033515886,0.10440613026819934,0.13494846274315808
301115.SZ,20240724,0.0,,20240809,20241009,63.86600000000001,0.077584358,4,True,停止,20240724,0,-0.015447154471544877,0.004954582989264988,0.010249674243079765,0.03963666391412057,0.026618870888911017,0.005780346820809301,0.021754021599460716,0.23038810900082574,0.0820761472226863
601700.SH,20241113,3.0,20260211,20250305,20250331,138.49,0.0618685,2,True,停止,20241113,0,0.014000000000000012,-0.029585798816568087,-0.012519792308766431,-0.04339250493096658,-0.023144485315159558,0.0,0.0019774564833425767,-0.14003944773175547,-0.11625725349823779
601700.SH,20250429,0.2,20260519,20250430,20260310,10387.9,4.572999428599999,7,True,停止,20250429,0,-0.06004618937644346,0.017199017199017064,0.01956389695823968,0.054054054054053946,0.03659873024381177,0.05896805896805879,0.0397238711119392,0.18926990758289297,0.08637804355403533
920519.BJ,20231017,0.11,20240202,20231117,20231130,40.0386,0.0302998917,2,True,停止,20231017,0,0.0013966480446927498,-0.004184100418410219,0.003885606088748217,-0.040446304044630454,-0.0011691586735160797,0.019525801952580135,0.02867533512821807,0.3947001394700138,0.49443980328864656
