ts_code,t0,plan_amount_yi,exp_date,impl_first,impl_last,total_vol_wan,total_amt_yi,n_progress,stopped,outcome,days,ret,ex
000333.SZ,20210224,140.0,20220223,20210225,20210331,26571.731,231.4926810919,5,False,完成,24,-0.12465403449009993,-0.0882521595345459
000333.SZ,20210510,50.0,20220521,20210524,20210603,452.815,2.1803850201,2,False,完成,8,-0.03292403877195893,-0.056379099734884086
000333.SZ,20210605,0.76,,20210630,20211130,13687.2276,93.9508800006,4,False,完成,102,-0.05030124702255856,-0.04302377679172087
000333.SZ,20220311,50.0,20230310,20220314,20220531,5019.197700000001,27.7485012421,6,False,完成,51,-0.03898394778620562,-0.02779298932096108
000333.SZ,20220609,1.27,,20220630,20221024,18135.1251,98.1134150482,6,False,完成,76,-0.2980625931445604,-0.19880054217256637
000333.SZ,20250430,0.15,,20250430,20250531,2142.38,14.8889577482,3,False,完成,19,0.07389296386851396,0.05193192182205508
000333.SZ,20250613,0.06,,20250617,20250829,9284.2555,67.06384817,4,False,完成,53,0.022897585345545313,-0.10185756922287648
000333.SZ,20250906,0.05,,20250925,20260131,55007.33929999999,403.6620864651,7,False,完成,83,0.07190058668420996,0.0030134384569384665
000333.SZ,20260331,130.0,20270330,20260330,20260331,4170.4978,30.9997856,2,False,完成,1,0.05894590846047154,0.06749679503455153
000333.SZ,20260430,0.08,,20260430,20260531,5871.952,46.47989783,2,False,完成,18,-0.0030826140567200566,0.007598248715585898
000333.SZ,20260622,0.02,,20260630,20260831,41724.2483,333.13222789,5,False,完成,38,0.16152522176618556,0.1930231045769406
000338.SZ,20220520,15.33,20230519,20220524,20221011,27654.555,33.2781700806,6,False,完成,93,-0.1832844047961686,-0.1583058042443506
000338.SZ,20250111,,,20250415,20250415,189.0,0.0,2,False,完成,0,0.0,
000338.SZ,20250703,,,20250630,20250731,2621.965,3.999672401,2,False,完成,23,0.00563290391197091,-0.03061128135865887
000338.SZ,20250809,,,20250831,20250930,9148.494999999999,13.578428629600001,4,False,完成,22,-0.07397622192866593,-0.07990282768388446
000401.SZ,20220525,3.72,20230524,20220607,20220624,2826.0,2.965279,2,False,完成,13,0.03088803088803105,-0.002344000570881244
000403.SZ,20220702,0.0,,20220818,20221031,292.1008,0.4546301846,5,False,完成,46,-0.14224952741020802,-0.02839766449501302
000403.SZ,20230523,0.03,,20230531,20240205,222.48069999999998,0.43160898686,2,False,完成,169,0.038521813286157114,0.2315996245557823
000403.SZ,20260429,3.0,20270427,20260525,20260731,2479.1661999999997,2.721292939,3,False,完成,42,-0.1422697368421053,-0.07057936375671714
000404.SZ,20250509,3.0,20260508,20250715,20260430,9523.398,6.798477259,9,False,完成,192,0.15159944367176625,-0.01843426441426832
000408.SZ,20201023,5.0,20211109,20201113,20220106,18953.0795,7.3802022692,7,False,完成,279,3.5578456046747116,
000408.SZ,20221101,3.0,20231116,20221117,20221214,1918.1882,5.808962785,3,False,完成,19,-0.09765100671140947,-0.11500488750983906
000408.SZ,20240810,3.0,20250826,20240906,20250224,1905.7984000000001,5.2541746,4,False,完成,102,0.4183454779254181,0.16301132072748992
000408.SZ,20260324,4.0,20270323,20260324,20260520,765.65,6.0633710821,3,False,完成,37,0.07195702758480271,-0.00038908644313218055
000411.SZ,20241220,0.01,,20250310,20250310,25.944000000000003,0.0122933805,2,False,完成,0,0.0,
000415.SZ,20260324,5.0,20260623,20260403,20260605,25343.088,11.457835792,4,False,完成,41,-0.0974477958236658,-0.1305314809340492
000423.SZ,20240103,1.24,20241231,20240110,20240125,171.24,0.85866155,2,False,完成,11,0.017137096774193505,0.00719486604283559
000423.SZ,20251205,2.0,20261222,20251223,20260630,945.4300000000001,4.5995200197,5,False,完成,122,-0.05005348663282572,-0.09052057686441917
000425.SZ,20230220,10.0,20240217,20230222,20230313,13447.020100000002,9.6527959576,3,False,完成,13,0.015514809590973178,0.022490234988627567
000425.SZ,20240430,6.0,20250522,20240718,20240930,14218.822,9.0867368156,5,False,完成,50,0.21028037383177578,0.07992475111746389
000425.SZ,20241017,0.16,,20241031,20241231,11299.346000000001,7.456365910800001,2,False,完成,43,0.020592020592020477,-0.001312857865245598
000425.SZ,20250408,36.0,20260408,20250408,20250417,12975.5213,11.062258762,2,False,完成,7,0.0703703703703702,0.026387912082189713
000425.SZ,20250429,0.0,,20250430,20250930,88175.21489999999,76.001772389,9,False,完成,105,0.3321992434524381,0.12505114260137318
000425.SZ,20251031,0.11,,20260209,20260331,4176.2033,3.2131117817000003,2,False,完成,30,-0.1500843170320404,-0.09958781967810504
000425.SZ,20260429,6.0,20270528,20260529,20260831,14704.35,13.813468820799999,5,False,完成,59,-0.1710326140169912,-0.1539239937610678
000498.SZ,20231230,0.5,20240328,20240125,20240223,1275.9775,0.6993182275000001,3,False,完成,15,0.001776198934280604,-0.03115280532711817
000498.SZ,20250429,1.0,20260519,20250610,20250620,943.78,0.5521668294000001,2,False,完成,8,-0.005136986301369939,0.00224207724866865
000501.SZ,20240806,1.5,20241105,20240816,20241104,5612.35,4.0672317825999995,6,False,完成,49,0.21449953361555574,0.056449321111600836
000503.SZ,20240606,0.12,,20240828,20240828,286.3604,0.14489836239999998,2,False,完成,0,0.0,
000503.SZ,20250606,0.0,,20251104,20251104,206.006,0.104322086,2,False,完成,0,0.0,
000507.SZ,20201125,1.2,20210610,20201218,20210527,4755.8,2.6550251186,7,False,完成,104,0.1007194244604317,
000507.SZ,20221112,1.6,20231128,20221222,20231127,10066.8,5.748386662499999,13,False,完成,224,0.004101595835466876,0.011630154821970606
000510.SZ,20210522,1.6,20220521,20210528,20210715,5195.91,2.6284642322000003,4,False,完成,33,0.031067961165048397,0.04153723754918914
000513.SZ,20200306,5.0,20201226,20200402,20201130,1646.1896000000002,6.7058448218999995,5,False,完成,160,0.08575496971631336,
000513.SZ,20220915,8.0,20231025,20221206,20230930,9760.2204,33.257905205499995,19,False,完成,200,0.08519770343643573,0.12080422818108993
000513.SZ,20231031,6.0,20241219,20240118,20241122,19398.199999999993,68.5130911116,34,False,完成,202,0.06145125131232576,-0.07545646186790189
000513.SZ,20241129,10.0,20251224,20241129,20251107,99080.14670000003,362.1845446492001,96,False,完成,227,0.007397670679002433,-0.16172181821084053
000516.SZ,20230419,,,20230620,20230620,1425.3002,0.0,2,False,完成,0,0.0,
000516.SZ,20240426,0.03,,20240527,20240704,1879.9003,1.010939179,4,False,完成,27,-0.16221033868092694,-0.11505278643583638
000516.SZ,20250423,0.13,,20250430,20250613,3537.3062,1.8467533713999997,3,False,完成,28,0.0,-0.029009391778965665
000521.SZ,20250509,3.0,20260508,20250715,20260507,12784.3544,8.7571693436,11,False,完成,194,-0.21320495185694643,-0.34027395386461945
000523.SZ,20250118,1.0,20250417,20250123,20250416,5054.602800000001,1.5118920104,5,False,完成,52,0.17931034482758634,0.16280858728420688
000525.SZ,20260428,0.01,,20260703,20260807,21.99,0.009455700000000001,2,False,完成,19,0.10294117647058831,0.13194380536043537
000526.SZ,20250102,1.5,20260117,20250115,20250531,503.64009999999996,2.4817577665000004,6,False,完成,87,0.2025196101735205,0.15927881670184618
000526.SZ,20250625,0.02,,20250922,20251030,810.8403000000001,4.0661813495,3,False,完成,22,-0.14348554671135316,-0.17749871726935973
000526.SZ,20260617,0.02,,20260618,20260820,587.0,1.8507251359999999,4,False,完成,38,0.39746929661332353,0.4643264785370045
000528.SZ,20210717,0.0,,20220207,20220223,51200.3163,0.01256544,3,False,完成,12,0.00805369127516764,-0.009155480925833404
000528.SZ,20220830,0.13,,20230222,20230222,375.873,0.138674952,2,False,完成,0,0.0,
000528.SZ,20240330,2.0,20250328,20240715,20240719,2114.414,2.1998185896,2,False,完成,4,-0.06874427131072425,-0.0713353736906358
000528.SZ,20241203,6.0,20251128,20241220,20250228,9810.375199999999,10.95317097,5,False,完成,43,0.08325709057639519,0.09864431844299304
000528.SZ,20260701,4.0,,20260811,20260831,861.2900000000001,0.699964445,2,False,完成,14,-0.04512195121951201,-0.05762716383141164
000531.SZ,20241221,1.0,20250318,20250113,20250317,1861.9,1.1547506319999998,3,False,完成,39,0.17301038062283736,0.08215393135591276
