ts_code,t0,final_stage,terminate_date,apply_date,list_date,raise_plan_yi,raise_act_yi,price_ratio,purpose,days,ret,ex
603613.SH,20200428,实施完成,,20201103,20201127,24.66,24.66,80.0,1、国联股份数字经济总部建设项目;2、基于AI的大数据生产分析系统研发项目;3、基于网络货运及智慧供应链的物联网支持系统,18,-0.11523178807947032,
300227.SZ,20200609,实施完成,,20210111,20210203,1.96,1.96,80.0,募集配套资金用于1、补充上市公司流动资金;2、本次交易的现金对价;3、3D打印(激光)生产线建设项目;4、本次交易的税费,17,-0.0055658627087197265,-0.0015540384609324942
300599.SZ,20200616,实施完成,,20210429,20210528,5.01,5.01,80.0,1、云南年产7万吨PVC/PPR/PE高性能高分子环保复合材料项目;2、新型管道材料及应用技术研发项目;3、补充流动资金,18,0.014311270125223707,-0.02114901733618446
603658.SH,20200616,实施完成,,20201027,20201112,30.8,30.8,80.0,1、安图生物体外诊断产业园(三期)项目；2、安图生物诊断仪器产业园之营销网络建设项目；3、补充流动资金。,12,-0.10286382232612501,
300502.SZ,20200307,实施完成,,20201116,20201228,16.5,16.5,80.0,用于高速率光模块生产线项目、补充流动资金,30,-0.14132231404958673,
601865.SH,20200615,实施完成,,20201231,20210118,25.0,25.0,80.0,"1、年产75万吨光伏组件盖板玻璃二期项目；2、年产4,200万平方光伏背板玻璃项目；3、补充流动资金。",11,-0.03470504538164765,
002683.SZ,20200219,实施完成,,20200925,20201030,17.68,17.68,80.0,用于矿山工程机械设备购置项目、补充流动资金,19,0.004214075010535057,
600487.SH,20190410,实施完成,,20201112,20201216,50.4,50.4,80.0,1、PEACE跨洋海缆通信系统运营项目;2、100G/400G硅光模块研发及量产项目;3、补充流动资金。,24,-0.08183632734530932,
300115.SZ,20200304,实施完成,,20201102,20201126,19.0,19.0,80.0,用于投资上海临港新能源汽车零组件(一期)项目、5G智能终端模组项目,18,0.03128760529482566,
300177.SZ,20200603,实施完成,,20210126,20210304,9.25,5.1,80.0,1、基于全要素网格的社会治理平台项目;2、基于时空智能技术的应急管理平台项目;3、高精度GNSS应用技术研发中心建设项目,22,0.006269592476489061,0.02520807105795897
002506.SZ,20200118,实施完成,,20201214,20210125,42.0,25.13,80.0,用于1、大尺寸再生晶圆半导体项目;2、阜宁协鑫集成2.5GW叠瓦组件项目;3、补充流动资金。,29,0.09266148948397745,
600810.SH,20191012,实施完成,,20210125,20210324,10.0,6.0,80.0,"募集配套资金用于3万吨/年1,6-己二醇项目、尼龙化工产业配套氢氨项目、上市公司偿还债务",37,0.22614107883817414,0.3197942484018299
603386.SH,20200530,实施完成,,20210825,20210915,5.0,1.9,80.0,用于年产80万平方米智能互联高精密线路板项目、补充流动资金及偿还银行贷款,15,-0.06966178697627445,-0.09913753490861121
600489.SH,20181123,实施完成,,20200724,20200806,20.0,20.0,80.0,募集配套资金用于支付现金收购标的资产的对价、补充上市公司和标的公司流动资金、偿还债务。,9,0.09057639524245187,
300750.SZ,20200227,实施完成,,20200706,20200804,197.0,197.0,80.0,1、宁德时代湖西锂离子电池扩建项目;2、江苏时代动力及储能锂离子电池研发与生;产项目(三期);3、四川时代动力电池项目一,21,0.18498312710911136,
300748.SZ,20200525,实施完成,,20201221,20210127,6.78,5.21,80.0,用于年产3000吨新能源汽车及3C领域高端磁材项目、补充流动资金,26,-0.05904251555249607,
603799.SH,20200523,实施完成,,20210126,20210209,60.18,60.18,80.0,1、年产4.5万吨镍金属量高冰镍项目；2、年产5万吨高镍型动力电池用三元前驱体材料项目；3、华友总部研究院建设项目；4、,10,0.024485196188915204,0.014801812728553854
002544.SZ,20191203,实施完成,,20201210,20210121,13.76,13.76,80.0,1、下一代移动通信产业化项目;2、5G高端通信振荡器的研发与产业化项目;3、泛在智能公共安全专网装备研发及产业化项目;4,29,-0.03238077905581793,
603078.SH,20200224,实施完成,,20201111,20201127,2.9,2.9,80.0,1、年产6万吨超高纯湿电子化学品项目;2、年产3万吨超高纯湿电子化学品、副产0.2万吨工业级化学品再生利用项目;3、补充,12,-0.028417818740399392,
603183.SH,20190417,实施完成,,20200619,20200713,1.99,1.99,80.0,募集配套资金用于1、支付本次重组现金对价;2、支付中介费用等交易税费;3、补充流动资金。,14,0.19001386962552003,
