ts_code,entry_date,entry_price,shares,exit_date,exit_price,exit_reason,fill_scenario,gross_pnl,fees,ret_pct
605162.SH,20250708,10.33,32200,20250711,9.54045,规则卖出,base,-25890.66961250002,467.15961250000004,-0.07781772490081745
002393.SZ,20250717,26.27,12300,20250721,27.4725,规则卖出,base,14287.58006249998,503.16993749999995,0.04420637798296898
600829.SH,20250721,10.16,32400,20250723,9.260729999999999,规则卖出,base,-29593.703565000058,457.35556499999996,-0.08987771880848704
002265.SZ,20250721,36.98,8900,20250723,39.44052,规则卖出,base,21377.571714999962,521.056285,0.06493710131147569
300528.SZ,20250730,25.32,12900,20250801,23.976,规则卖出,base,-17805.870000000046,468.2699999999999,-0.0545005928612635
002644.SZ,20250730,11.76,27700,20250801,10.139850000000001,规则卖出,base,-45310.68530624998,432.53030625,-0.13906088210090328
600579.SH,20250731,11.13,29300,20250804,9.290700000000001,规则卖出,base,-54313.2891375,421.7991375,-0.16650786764225387
002052.SZ,20250813,13.16,21800,20250815,13.6863,规则卖出,base,11028.66632499995,444.6736749999999,0.03843280251365712
605298.SH,20250813,23.82,12000,20250815,22.5774,规则卖出,base,-15321.321000000033,410.12100000000004,-0.0535876421322882
600053.SH,20250813,21.64,13200,20250815,18.981,规则卖出,base,-35483.398499999996,384.59850000000006,-0.12418966653900294
002217.SZ,20250826,3.72,73700,20250828,3.77622,规则卖出,base,3726.98873249997,416.42526749999996,0.013590614443163292
605188.SH,20250828,18.49,14900,20250901,17.51247,规则卖出,base,-14960.242003749985,395.04500375000003,-0.05428837963575624
002256.SZ,20250901,3.54,76400,20250904,3.34665,规则卖出,base,-15159.159075000001,387.219075,-0.0560363616722938
603032.SH,20250902,24.88,10800,20250904,25.914060000000003,规则卖出,base,10750.832190000081,417.01581000000004,0.03999994474853986
605288.SH,20250902,95.48,2800,20250904,95.904,规则卖出,base,784.7000000000219,402.5,0.002934436060025712
002759.SZ,20250930,19.72,13600,20251013,20.829150000000002,规则卖出,base,14663.296449999974,421.14355,0.05466095760542613
002767.SZ,20251021,25.03,10900,20251023,20.979,规则卖出,base,-44509.94562499998,354.045625,-0.16310270215107023
600262.SH,20251022,29.9,9100,20251024,30.07989,规则卖出,base,1226.8177512500179,410.18124875,0.004507740539781508
002490.SZ,20251023,9.36,27700,20251027,8.01198,规则卖出,base,-37682.38680749998,342.2328075,-0.14530288101051653
000599.SZ,20251028,7.66,32200,20251030,6.81318,规则卖出,base,-27603.49749499999,335.89349500000003,-0.11188475400732058
002213.SZ,20251028,28.14,8700,20251030,27.74223,规则卖出,base,-3823.5002512500287,362.90125125,-0.015613821757780288
603378.SH,20251028,8.27,29800,20251103,8.211780000000001,规则卖出,base,-2102.4563049999715,367.500305,-0.008528971142945707
001203.SZ,20251031,19.5,13000,20251104,20.13984,规则卖出,base,7927.272599999997,390.64739999999995,0.03126347643858265
002885.SZ,20251105,32.25,7400,20251107,34.095870000000005,规则卖出,base,13284.388702500035,375.0492975000001,0.055650821015676456
002255.SZ,20251105,11.88,20000,20251111,14.4855,规则卖出,base,51688.46249999996,421.5375,0.21748966167549003
001209.SZ,20251107,26.36,9500,20251112,23.48649,规则卖出,base,-27639.852068750002,341.50706875,-0.11034639339027155
600113.SH,20251112,58.6,4200,20251114,59.77017,规则卖出,base,4539.390607500011,375.32339249999995,0.018439200566752557
600408.SH,20251113,5.69,44100,20251120,5.30469,规则卖出,base,-17347.32428625002,355.15328625000006,-0.06911512236176463
603122.SH,20251113,22.1,11300,20251120,23.7762,规则卖出,base,18542.788674999985,398.27132500000005,0.07423278795685688
003041.SZ,20251114,41.02,6100,20251121,54.87507,规则卖出,base,84034.94909125,480.9779087500001,0.335757629644271
002213.SZ,20251120,36.64,7600,20251124,32.24772,规则卖出,base,-33757.29733999998,375.96934000000005,-0.12119649263448325
600734.SH,20251124,5.08,53100,20251201,4.92507,规则卖出,base,-8621.12152124999,394.33852125,-0.03195192097644877
000547.SZ,20251202,16.35,16300,20251204,16.983,规则卖出,base,9905.245125000047,412.65487500000006,0.03715791235677337
002413.SZ,20251202,9.27,28800,20251204,8.47152,规则卖出,base,-23367.942719999985,371.7187200000001,-0.0875063758332261
002565.SZ,20251202,9.71,27400,20251205,10.989,规则卖出,base,34601.71325000003,442.88675,0.13002272089032335
603709.SH,20251212,23.84,11400,20251217,18.16182,规则卖出,base,-65058.00193500002,326.749935,-0.23932113762666724
001336.SZ,20251223,31.85,7900,20251225,26.23374,规则卖出,base,-44690.41593250001,321.9619325,-0.17756988303944427
002596.SZ,20251223,6.48,38900,20251225,6.20379,规则卖出,base,-11109.246288750048,364.67728875,-0.04406070357410666
000566.SZ,20251223,8.76,28800,20251225,8.541450000000001,规则卖出,base,-6664.80419999997,370.5642000000001,-0.026410841638905225
002363.SZ,20251226,11.34,20400,20251230,9.46053,规则卖出,base,-38640.26551500001,299.07751500000006,-0.16698917532521634
600783.SH,20251226,21.1,10900,20251231,23.63634,规则卖出,base,27266.563367499966,379.54263249999997,0.11852579864512529
603278.SH,20251226,12.8,18000,20260107,15.71427,规则卖出,base,52045.68892500006,411.1710750000001,0.22583628799831318
001231.SZ,20260106,30.17,8200,20260108,26.40357,规则卖出,base,-31217.211092500023,332.48509249999995,-0.12615265018680705
