ts_code,entry_date,entry_price,shares,exit_date,exit_price,exit_reason,fill_scenario,gross_pnl,fees,ret_pct
301373.SZ,20250701,35.12,9400,20250702,35.964,规则卖出,base,7428.490999999986,505.109,0.022496226740581327
002729.SZ,20250701,15.4,21600,20250702,15.3846,规则卖出,base,-831.184199999927,498.54420000000005,-0.0024981254686326226
002845.SZ,20250701,15.73,21100,20250702,15.74424,规则卖出,base,-197.7660800000471,498.23007999999993,-0.000595706127505138
603207.SH,20250708,33.78,9900,20250709,33.966,规则卖出,base,1337.4652500000134,503.93475,0.0039983343418142315
000796.SZ,20250708,4.44,75500,20250709,4.4955,规则卖出,base,3682.1821874999373,508.0678125,0.01098162959260166
603185.SH,20250708,16.39,20400,20250709,16.5834,规则卖出,base,3438.8943000000218,506.4657,0.010282557487534833
002178.SZ,20250717,7.08,47700,20250718,7.45254,规则卖出,base,17241.37130250002,528.7866975,0.05104011073502817
300878.SZ,20250717,20.71,16300,20250718,21.058919999999997,规则卖出,base,5173.927254999952,513.4687449999999,0.01532300893873572
002542.SZ,20250717,3.69,91600,20250718,3.74625,规则卖出,base,4639.053375000007,513.446625,0.013721417206673962
603496.SH,20250718,28.34,12200,20250721,28.971,规则卖出,base,7169.955250000034,528.24475,0.02073233455926783
600444.SH,20250718,19.06,18200,20250721,20.879099999999998,规则卖出,base,32545.897474999943,561.7225249999999,0.09379796315349267
000751.SZ,20250718,3.53,98300,20250721,3.5264699999999998,规则卖出,base,-867.0637512500225,520.06475125,-0.0024981254686329067
002671.SZ,20250721,5.26,68400,20250722,5.45454,规则卖出,base,12750.226829999938,556.3091699999999,0.035429702460316306
001239.SZ,20250721,17.41,20600,20250722,19.13085,规则卖出,base,34867.22911249996,582.2808875000001,0.09719476721859158
002917.SZ,20250721,15.5,23200,20250722,16.76322,规则卖出,base,28730.67062000001,576.03338,0.07987622287976395
001206.SZ,20250722,25.98,14800,20250723,25.95402,规则卖出,base,-960.7793700000145,576.27537,-0.00249812546863288
000856.SZ,20250722,12.63,30500,20250723,12.97701,规则卖出,base,9992.752743750018,591.0522562499999,0.02593423200019477
002761.SZ,20250722,10.58,36400,20250723,11.37861,规则卖出,base,28455.39924499997,614.004755,0.07387016549265323
603282.SH,20250729,19.75,20100,20250730,19.73025,规则卖出,base,-991.9412812499562,594.9662812500001,-0.0024981254686327315
301372.SZ,20250729,29.62,13400,20250730,30.4695,规则卖出,base,10773.708874999966,609.5911249999999,0.027137311722035644
605268.SH,20250729,10.68,37200,20250730,11.73825,规则卖出,base,38721.747375,645.152625,0.09743886008834869
600302.SH,20250730,7.03,58900,20250731,7.12287,规则卖出,base,4842.10494624999,627.93805375,0.011691090385298386
000798.SZ,20250730,8.82,46900,20250731,8.63136,规则卖出,base,-9456.64397999998,609.42798,-0.02285530658151784
002675.SZ,20250730,17.6,23500,20250731,17.5824,规则卖出,base,-1033.4830000000425,619.8829999999999,-0.002498125468632944
002757.SZ,20250731,21.78,18900,20250801,22.29768,规则卖出,base,9154.45880999998,629.6931899999998,0.022233325966029106
603757.SH,20250731,26.13,15700,20250801,27.12285,规则卖出,base,14952.898818749973,634.84618125,0.03643995000101862
600501.SH,20250731,23.77,17300,20250801,24.56541,规则卖出,base,13126.560758749989,634.03224125,0.03191296149458636
001400.SZ,20250813,64.94,6500,20250814,65.55438000000001,规则卖出,base,3355.313162500006,638.1568375,0.007946920337978346
603221.SH,20250813,12.66,33500,20250814,13.91607,规则卖出,base,41389.582068749965,688.76293125,0.09756722845355004
002833.SZ,20250813,19.58,21700,20250814,19.55043,规则卖出,base,-1278.1959137499946,636.52691375,-0.0030075748427550804
001296.SZ,20250826,22.99,19100,20250827,23.3766,规则卖出,base,6716.166425000046,667.8935749999999,0.01529116415980835
603177.SH,20250826,10.89,40300,20250827,11.968020000000001,规则卖出,base,42731.60024250004,712.6057575000001,0.09734365995278049
001358.SZ,20250826,27.81,15700,20250827,27.972,规则卖出,base,1885.295250000046,658.10475,0.004316881944562508
002115.SZ,20250828,9.52,47900,20250829,10.109879999999999,规则卖出,base,27535.920934999922,719.3310649999999,0.060369639732923745
300389.SZ,20250828,14.7,31000,20250829,15.80418,规则卖出,base,33503.24302500002,726.3369749999999,0.07350201735280469
002423.SZ,20250828,14.23,32000,20250829,14.59539,规则卖出,base,10994.824400000009,697.6556,0.024139310393764893
603257.SH,20250901,60.48,7900,20250902,63.8361,规则卖出,base,25763.36051250002,749.8294875,0.05390823053165285
603004.SH,20250901,24.42,19600,20250902,24.415560000000003,规则卖出,base,-804.8632200000035,717.8392200000001,-0.001681170616436807
000936.SZ,20250901,8.43,56900,20250902,8.4915,规则卖出,base,2775.475312500061,723.8746875,0.00578480824633712
002347.SZ,20250902,7.93,61700,20250903,7.92207,规则卖出,base,-1222.5908987500109,733.3098987499999,-0.002498125468632864
000407.SZ,20250902,4.07,120300,20250903,4.065930000000001,规则卖出,base,-1223.4404737499901,733.8194737500002,-0.0024981254686328213
600653.SH,20250902,2.19,223600,20250903,2.18781,规则卖出,base,-1223.5978950000406,733.9138949999999,-0.002498125468632925
002514.SZ,20250903,6.73,72500,20250904,7.2927,规则卖出,base,40012.8678125,782.8821875,0.08198568857042796
002269.SZ,20250903,2.41,202700,20250904,2.64735,规则卖出,base,47317.945943750026,792.8990562499998,0.09683816079175232
300277.SZ,20250903,15.46,31500,20250904,15.294690000000001,规则卖出,base,-5931.240918749946,723.9759187500001,-0.012176345467319993
000672.SZ,20250930,11.02,46700,20251009,10.95903,规则卖出,base,-3615.6908762500193,768.39187625,-0.007023996042731641
000923.SZ,20250930,17.91,28700,20251009,18.981,规则卖出,base,29928.252375000036,809.447625,0.058209693807703924
601618.SH,20250930,3.85,133900,20251009,3.996,规则卖出,base,18751.690749999983,797.70925,0.03636558392869312
000637.SZ,20251021,4.73,112100,20251022,5.16483,规则卖出,base,47888.16294625006,856.2800537500002,0.09029274658079676
688509.SH,20251021,5.08,104400,20251022,5.1948,规则卖出,base,11174.610600000004,810.5094,0.021064910937619932
002380.SZ,20251021,30.24,17500,20251022,30.19977,规则卖出,base,-1496.9449687500717,792.91996875,-0.0028279871996287993
002828.SZ,20251022,12.42,44200,20251023,12.33765,规则卖出,base,-4458.76616249998,818.8961625,-0.008120116709952909
002728.SZ,20251022,11.09,49500,20251023,11.14884,规则卖出,base,2085.5067749999184,827.073225,0.0037980991677237005
002481.SZ,20251022,6.39,86000,20251023,6.5134799999999995,规则卖出,base,9781.695899999942,837.5840999999998,0.017795339897419906
300520.SZ,20251023,32.69,16800,20251024,36.10386,规则卖出,base,56457.36894000002,895.47906,0.10277509163547295
301289.SZ,20251023,66.47,8300,20251024,65.01492,规则卖出,base,-12889.61904499997,812.4550449999999,-0.023357574928518456
000090.SZ,20251023,4.11,134300,20251024,3.996,规则卖出,base,-16119.021749999898,808.82175,-0.029195255930542723
603556.SH,20251028,31.92,17500,20251029,32.847120000000004,规则卖出,base,15366.419250000059,858.1807500000001,0.027501930908250486
601326.SH,20251028,3.95,142100,20251029,4.01598,规则卖出,base,8522.09580250001,853.6621975,0.015179122940783812
603629.SH,20251031,26.77,21200,20251103,28.93104,规则卖出,base,44905.49443999997,908.55356,0.07910550192112034
301361.SZ,20251105,40.7,14300,20251106,43.09686,规则卖出,base,33359.23912750004,915.8588725000002,0.0573029697121175
002300.SZ,20251105,7.24,80700,20251106,7.74225,规则卖出,base,39604.508531250096,927.0664687500001,0.06776789055498572
600734.SH,20251105,4.09,142800,20251106,3.996,规则卖出,base,-14282.498999999918,859.299,-0.024448044468100436
300775.SZ,20251106,30.59,19700,20251107,30.969,规则卖出,base,6553.032625000027,913.267375,0.010871464873239074
002170.SZ,20251106,12.42,48600,20251107,12.987,规则卖出,base,26616.33674999995,939.86325,0.04408408767373365
000338.SZ,20251106,18.03,33400,20251107,17.99199,规则卖出,base,-2171.250082500034,901.7160825000001,-0.0036046167326721293
002250.SZ,20251107,12.86,47700,20251110,13.286700000000002,规则卖出,base,19408.015012500055,945.5749875000001,0.03163102109387126
002927.SZ,20251107,18.25,33600,20251110,18.401580000000003,规则卖出,base,4166.92164000012,926.1663600000002,0.006793672814673238
002768.SZ,20251107,58.88,10400,20251110,61.61832,规则卖出,base,27524.401839999937,954.1261599999999,0.04493742563000544
003027.SZ,20251112,22.15,28500,20251113,24.34563,规则卖出,base,61550.323181249994,1025.1318187499999,0.09747723170787438
002228.SZ,20251113,4.08,159700,20251114,4.255739999999999,规则卖出,base,27053.231902500003,1012.4460975,0.04150931017245689
002242.SZ,20251113,11.06,58900,20251114,12.15783,规则卖出,base,63604.20826625006,1057.97873375,0.09761282215612473
600409.SH,20251113,6.61,98600,20251114,6.61338,规则卖出,base,-644.7675849999544,978.0355850000001,-0.000989045476906044
002198.SZ,20251114,7.66,89000,20251117,8.40159,规则卖出,base,64896.39811250003,1105.1118875,0.09516850715519556
603628.SH,20251114,15.74,43300,20251117,16.75323,规则卖出,base,42795.7049262499,1077.15407375,0.06277677483424556
600272.SH,20251114,15.47,44000,20251117,14.985,规则卖出,base,-22334.345000000045,994.345,-0.03280361228374232
300659.SZ,20251117,17.82,39800,20251118,17.922060000000002,规则卖出,base,2993.0565150000702,1068.931485,0.004219058871645824
601113.SH,20251117,4.51,157400,20251118,4.4955,规则卖出,base,-3344.258125000092,1061.9581249999999,-0.004709881287992988
301092.SZ,20251120,41.02,17300,20251121,38.961,规则卖出,base,-36640.64312500002,1019.9431249999998,-0.051619378188119985
600734.SH,20251120,4.2,169000,20251121,4.515479999999999,规则卖出,base,52184.774849999885,1131.3451499999999,0.0735020173528045
002574.SZ,20251124,6.47,110500,20251125,6.27372,规则卖出,base,-22734.231325000044,1045.291325,-0.031791070779445846
603727.SH,20251124,15.17,47100,20251125,15.164819999999999,规则卖出,base,-1315.4335274999653,1071.4555275,-0.0018405764412554911
002400.SZ,20251124,9.74,73400,20251125,9.7902,规则卖出,base,2607.7001500000983,1076.9798500000002,0.0036466499391580583
002686.SZ,20251202,7.37,96000,20251203,7.9720200000000006,规则卖出,base,56660.39760000003,1133.5224,0.08006308802717914
000812.SZ,20251202,5.28,134100,20251203,5.40459,规则卖出,base,15624.562601250002,1082.9563987499998,0.02206157977551067
